title,bookID,author,rating,ratingsCount,reviewsCount
"Justice: Crimes, Trials, and Punishments",18230,Dominick Dunne,3.72,1032,107
Maxims and Reflections (Penguin Classics),18226,Johann Wolfgang von Goethe,3.79,276,19
Conversations of Goethe,18229,Johann Wolfgang von Goethe,4.37,340,20
Kentucky Straight: Stories,18334,Chris Offutt,4.05,727,64
"The Spy Who Loved Me (James Bond, #10)",18455,Ian Fleming,3.39,8127,526
Out of the Woods: Stories,18335,Chris Offutt,4.06,392,48
Montgomery County: Centuries of Change,18336,Jane C. Sween,4,3,0
The Painted Bird,18452,Jerzy Kosiński,3.94,16202,1130
Da Capo Best Music Writing 2001,18322,Nick Hornby,3.78,85,5
Carton jaune,18321,Nick Hornby,3.72,28430,1221
The Painted Bird,18453,Jerzy Kosiński,3.94,16203,1130
The Painted Bird,18454,Jerzy Kosiński,3.94,16203,1130
The Spy Who Loved Me,18456,Ian Fleming,3.39,8127,526
A Gentleman of Leisure,60519,P.G. Wodehouse,3.9,631,83
"The Man With Two Left Feet and Other Stories (Jeeves, #0.5)",1094403,P.G. Wodehouse,3.85,2430,269
"The World of Jeeves (Jeeves, #2-4)",18045,P.G. Wodehouse,4.47,2499,146
Whos Who in Wodehouse -Op/30: Who's Who in Wodehouse (REV),18040,Daniel H. Garrison,4.5,8,2
"A Wodehouse Miscellany, Large-Print Edition",18046,P.G. Wodehouse,3.91,211,20
The Corner: A Year in the Life of an Inner-City Neighborhood,18957,David Simon,4.41,4464,478
Your Soul's Compass: What Is Spiritual Guidance?,18117,Joan Borysenko,3.87,55,7
"The Subtle Knife (His Dark Materials, #2)",119324,Philip Pullman,4.11,273830,6280
His Dark Materials (His Dark Materials #1-3),18116,Philip Pullman,4.25,102977,4563
"Der Goldene Kompass (His Dark Materials, #1)",18118,Philip Pullman,3.94,1008291,15198
"The Subtle Knife (His Dark Materials, #2)",18119,Philip Pullman,4.11,273831,6280
"Rameau's Nephew, and Other Works",18218,Denis Diderot,3.71,65,5
"The Amber Spyglass (His Dark Materials, #3)",18122,Philip Pullman,4.07,220193,6834
The Nun,18216,Denis Diderot,3.68,4111,230
Rameau's Nephew / D'Alembert's Dream,18217,Denis Diderot,3.67,1103,62
The Subtle Knife: Writing Programs and Technology,18121,Barclay Barrios,4.75,4,0
Conversations with Jerzy Kosinski,18461,Jerzy Kosiński,3.76,25,3
Passion Play,18460,Jerzy Kosiński,3.51,396,15
The Bias Against Guns: Why Almost Everything You've Heard About Gun Control is Wrong,18476,John R. Lott Jr.,4.3,125,7
Anti-Bias Curriculum: Tools for Empowering Young Children,18475,Louise Derman-Sparks,4.24,25,9
Bush's War: Media Bias and Justifications for War in a Terrorist Age,18477,Jim A. Kuypers,4,1,0
Blind Date,18462,Jerzy Kosiński,3.67,1039,47
The Devil Tree,18463,Jerzy Kosiński,3.56,798,45
"The Spy Who Loved Me (James Bond, #10)",18457,Ian Fleming,3.39,8127,526
The Spy Who Loved Me (James Bond #10),18458,Ian Fleming,3.39,8127,526
Bias in Psychiatric Diagnosis,18479,Paula J. Caplan,4.21,14,1
Beyond Bias and Barriers: Fulfilling the Potential of Women in Academic Science and Engineering,18482,National Academy of Sciences,4,3,0
Quick Quilts Using Quick Bias,18481,Gretchen K. Hudock,3.57,7,0
"The Surprising Effects of Sympathy: Marivaux, Diderot, Rousseau, and Mary Shelley",18222,David Marshall,3.33,3,0
"Easy Bias-Covered Curves: Create Quilts with WOW Appeal (Fast, Fun & Easy)",18480,Wendy Hill,3.8,5,0
"Diderot on Art, Volume I: The Salon of 1765 and Notes on Painting ",18220,Denis Diderot,3.14,7,1
"A Bias for Action: How Effective Managers Harness Their Willpower, Achieve Results, and Stop Wasting Time",553521,Heike Bruch,3.48,44,3
Political Writings (Texts in the History of Political Thought),18221,Denis Diderot,3.56,18,0
Improv Comedy,18483,Andy Goldberg,3.55,20,1
Jacques and His Master: An Homage to Diderot in Three Acts,18219,Milan Kundera,3.77,1068,55
We the Underpeople,18949,Cordwainer Smith,4.18,154,18
A Cordwainer Smith checklist (Drumm booklet),18955,Mike Bennett,0,0,0
The Science Fiction of Cordwainer Smith,18953,Karen L. Hellekson,4.31,13,0
Homicide: A Year on the Killing Streets,18956,David Simon,4.38,12177,937
The Rediscovery of Man,18952,Cordwainer Smith,4.17,2552,136
The Strange Case of the Murderer in Wax/The Man (New Adventures of Sherlock Homes 14),18938,Anthony Boucher,3.73,26,0
Concordance to Cordwainer Smith,18954,Anthony R. Lewis,4,19,3
In the Beginning...Was the Command Line,18937,Neal Stephenson,3.79,6689,338
Norstrilia,18951,Cordwainer Smith,4.07,1839,86
Frankenstein Makes a Sandwich,18486,Adam Rex,4.23,1695,239
Edmund Spenser's Poetry,18501,Edmund Spenser,3.83,510,11
Campbell's Soup Boxes,18484,Andy Warhol,4,1,0
The Complete Poetical Works of Edmund Spenser.,18502,Edmund Spenser,4.36,11,0
The Faerie Queene: Books I to III  ,18500,Edmund Spenser,3.83,30,3
The Faerie Queene,18503,Edmund Spenser,3.55,13881,292
"The Third Book of Swords (Books of Swords, #3)",18485,Fred Saberhagen,3.86,2135,28
Frankenstein  ,18487,Mary Wollstonecraft Shelley,3.75,896494,20432
Frankenstein,18489,Mary Wollstonecraft Shelley,3.75,896494,20432
"Frankenstein; Or, the Modern Prometheus",18488,Mary Wollstonecraft Shelley,3.75,896494,20432
A Concordance to the Poems of Edmund Spenser,18504,Charles Grosvenor Osgood,0,0,0
The Works of Edmund Spenser,18505,Edmund Spenser,4.22,32,1
A Biography of Edmund Spenser,18749117,John W. Hales,4.5,2,0
The Yale Edition of the Shorter Poems of Edmund Spenser,18506,Edmund Spenser,4.14,141,4
The Rum Diary,18864,Hunter S. Thompson,3.83,43774,1845
Better Than Sex: Confessions of a Political Junkie,18865,Hunter S. Thompson,3.75,4254,152
"I Miss You, Father Bear (Maurice Sendak's Little Bear)",18869,Else Holmelund Minarik,3.76,25,4
Little Bear Makes a Scarecrow (Maurice Sendak's Little Bear),18870,Else Holmelund Minarik,3.93,15,2
"The Warrior Prophet (The Prince of Nothing, #2)",18877,R. Scott Bakker,3.95,10309,251
"The Belgariad, Vol. 1: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit (The Belgariad, #1-3)",18878,David Eddings,4.27,13592,370
Warriors Of The Prophet: The Struggle For Islam,18872,Mark Huband,3.07,15,1
Mommy?,18868,Maurice Sendak,4.05,802,68
The Art of Maurice Sendak,18867,Selma G. Lanes,4.44,715,26
Kingdom of Fear: Loathsome Secrets of a Star-crossed Child in the Final Days of the American Century,18866,Hunter S. Thompson,3.95,7499,284
The Hobbit & The Lord of the Rings,18509,J.R.R. Tolkien,4.59,95191,1601
"The Two Towers (The Lord of the Rings, #2)",18511,J.R.R. Tolkien,4.42,539257,7130
Complete Poems,18529,Christopher Marlowe,3.99,289,23
"The Fellowship of the Ring (The Lord of the Rings, #1)",18510,J.R.R. Tolkien,4.34,1862769,15630
The Complete Plays and Poems,1916548,Christopher Marlowe,4.25,40,4
Raised in Captivity.,18535,Nicky Silver,3.91,102,3
The Reckoning: The Murder of Christopher Marlowe,18531,Charles Nicholl,4.13,440,55
"Doctor Faustus and Other Plays, Parts 1-2",18533,Christopher Marlowe,3.98,1513,42
Cyrano de Bergerac,18534,Edmond Rostand,4.05,61253,1489
The Altruists - Acting Edition,18539,Nicky Silver,3.7,71,4
Fit to Be Tied,18540,Nicky Silver,3.5,14,1
Beautiful Child,18538,Nicky Silver,3.5,22,1
Meeting God at Every Turn,18680,Catherine Marshall,4.36,196,11
Complete Plays of Christopher Marlowe,18532,Christopher Marlowe,4.07,2349,51
"King Lear, Macbeth, Indefinition, and Tragedy",18547,Stephen  Booth,4.13,16,3
Fat Men in Skirts - Acting Edition,18543,Nicky Silver,3.87,91,5
The Maiden's Prayer - Acting Edition,18541,Nicky Silver,3.95,22,1
The Eros Trilogy,18542,Nicky Silver,3.5,6,2
Etiquette And Vitriol: The Food Chain And Other Plays,18544,Nicky Silver,3.97,116,11
